amenities_id,amenities_description,amenities_score
207,"['Kitchen', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",27
208,"['Kitchen', 'Smoke Detector', 'TV', 'Wireless Internet']",26
209,"['Dryer', 'Essentials', 'Kitchen', 'Wireless Internet']",29
210,"['Essentials', 'Kitchen', 'Washer', 'Wireless Internet']",28
211,"['Essentials', 'Internet', 'Kitchen', 'Wireless Internet']",27
212,"['Essentials', 'Kitchen', 'Shampoo', 'Wireless Internet']",26
213,"['Essentials', 'Kitchen', 'TV', 'Wireless Internet']",25
214,"['Dryer', 'Kitchen', 'Washer', 'Wireless Internet']",27
215,"['Dryer', 'Internet', 'Kitchen', 'Wireless Internet']",26
216,"['Dryer', 'Kitchen', 'Shampoo', 'Wireless Internet']",25
217,"['Dryer', 'Kitchen', 'TV', 'Wireless Internet']",24
218,"['Internet', 'Kitchen', 'Washer', 'Wireless Internet']",25
219,"['Kitchen', 'Shampoo', 'Washer', 'Wireless Internet']",24
220,"['Kitchen', 'TV', 'Washer', 'Wireless Internet']",23
221,"['Internet', 'Kitchen', 'Shampoo', 'Wireless Internet']",23
222,"['Internet', 'Kitchen', 'TV', 'Wireless Internet']",22
223,"['Kitchen', 'Shampoo', 'TV', 'Wireless Internet']",21
224,"['Dryer', 'Essentials', 'Smoke Detector', 'Wireless Internet']",28
225,"['Essentials', 'Smoke Detector', 'Washer', 'Wireless Internet']",27
226,"['Essentials', 'Internet', 'Smoke Detector', 'Wireless Internet']",26
227,"['Essentials', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",25
228,"['Essentials', 'Smoke Detector', 'TV', 'Wireless Internet']",24
229,"['Dryer', 'Smoke Detector', 'Washer', 'Wireless Internet']",26
230,"['Dryer', 'Internet', 'Smoke Detector', 'Wireless Internet']",25
231,"['Dryer', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",24
232,"['Dryer', 'Smoke Detector', 'TV', 'Wireless Internet']",23
233,"['Internet', 'Smoke Detector', 'Washer', 'Wireless Internet']",24
234,"['Shampoo', 'Smoke Detector', 'Washer', 'Wireless Internet']",23
235,"['Smoke Detector', 'TV', 'Washer', 'Wireless Internet']",22
236,"['Internet', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",22
237,"['Internet', 'Smoke Detector', 'TV', 'Wireless Internet']",21
238,"['Shampoo', 'Smoke Detector', 'TV', 'Wireless Internet']",20
239,"['Dryer', 'Essentials', 'Washer', 'Wireless Internet']",25
240,"['Dryer', 'Essentials', 'Internet', 'Wireless Internet']",24
241,"['Dryer', 'Essentials', 'Shampoo', 'Wireless Internet']",23
242,"['Dryer', 'Essentials', 'TV', 'Wireless Internet']",22
243,"['Essentials', 'Internet', 'Washer', 'Wireless Internet']",23
244,"['Essentials', 'Shampoo', 'Washer', 'Wireless Internet']",22
245,"['Essentials', 'TV', 'Washer', 'Wireless Internet']",21
246,"['Essentials', 'Internet', 'Shampoo', 'Wireless Internet']",21
247,"['Essentials', 'Internet', 'TV', 'Wireless Internet']",20
248,"['Essentials', 'Shampoo', 'TV', 'Wireless Internet']",19
249,"['Dryer', 'Internet', 'Washer', 'Wireless Internet']",22
250,"['Dryer', 'Shampoo', 'Washer', 'Wireless Internet']",21
251,"['Dryer', 'TV', 'Washer', 'Wireless Internet']",20
252,"['Dryer', 'Internet', 'Shampoo', 'Wireless Internet']",20
253,"['Dryer', 'Internet', 'TV', 'Wireless Internet']",19
254,"['Dryer', 'Shampoo', 'TV', 'Wireless Internet']",18
255,"['Internet', 'Shampoo', 'Washer', 'Wireless Internet']",19
256,"['Internet', 'TV', 'Washer', 'Wireless Internet']",18
257,"['Shampoo', 'TV', 'Washer', 'Wireless Internet']",17
258,"['Internet', 'Shampoo', 'TV', 'Wireless Internet']",16
259,"['Essentials', 'Heating', 'Kitchen', 'Smoke Detector']",30
260,"['Dryer', 'Heating', 'Kitchen', 'Smoke Detector']",29
261,"['Heating', 'Kitchen', 'Smoke Detector', 'Washer']",28
262,"['Heating', 'Internet', 'Kitchen', 'Smoke Detector']",27
263,"['Heating', 'Kitchen', 'Shampoo', 'Smoke Detector']",26
264,"['Heating', 'Kitchen', 'Smoke Detector', 'TV']",25
265,"['Dryer', 'Essentials', 'Heating', 'Kitchen']",28
266,"['Essentials', 'Heating', 'Kitchen', 'Washer']",27
267,"['Essentials', 'Heating', 'Internet', 'Kitchen']",26
268,"['Essentials', 'Heating', 'Kitchen', 'Shampoo']",25
269,"['Essentials', 'Heating', 'Kitchen', 'TV']",24
270,"['Dryer', 'Heating', 'Kitchen', 'Washer']",26
271,"['Dryer', 'Heating', 'Internet', 'Kitchen']",25
272,"['Dryer', 'Heating', 'Kitchen', 'Shampoo']",24
273,"['Dryer', 'Heating', 'Kitchen', 'TV']",23
274,"['Heating', 'Internet', 'Kitchen', 'Washer']",24
275,"['Heating', 'Kitchen', 'Shampoo', 'Washer']",23
276,"['Heating', 'Kitchen', 'TV', 'Washer']",22
277,"['Heating', 'Internet', 'Kitchen', 'Shampoo']",22
278,"['Heating', 'Internet', 'Kitchen', 'TV']",21
279,"['Heating', 'Kitchen', 'Shampoo', 'TV']",20
280,"['Dryer', 'Essentials', 'Heating', 'Smoke Detector']",27
281,"['Essentials', 'Heating', 'Smoke Detector', 'Washer']",26
282,"['Essentials', 'Heating', 'Internet', 'Smoke Detector']",25
283,"['Essentials', 'Heating', 'Shampoo', 'Smoke Detector']",24
284,"['Essentials', 'Heating', 'Smoke Detector', 'TV']",23
285,"['Dryer', 'Heating', 'Smoke Detector', 'Washer']",25
286,"['Dryer', 'Heating', 'Internet', 'Smoke Detector']",24
287,"['Dryer', 'Heating', 'Shampoo', 'Smoke Detector']",23
288,"['Dryer', 'Heating', 'Smoke Detector', 'TV']",22
289,"['Heating', 'Internet', 'Smoke Detector', 'Washer']",23
290,"['Heating', 'Shampoo', 'Smoke Detector', 'Washer']",22
291,"['Heating', 'Smoke Detector', 'TV', 'Washer']",21
292,"['Heating', 'Internet', 'Shampoo', 'Smoke Detector']",21
293,"['Heating', 'Internet', 'Smoke Detector', 'TV']",20
294,"['Heating', 'Shampoo', 'Smoke Detector', 'TV']",19
295,"['Dryer', 'Essentials', 'Heating', 'Washer']",24
296,"['Dryer', 'Essentials', 'Heating', 'Internet']",23
297,"['Dryer', 'Essentials', 'Heating', 'Shampoo']",22
298,"['Dryer', 'Essentials', 'Heating', 'TV']",21
299,"['Essentials', 'Heating', 'Internet', 'Washer']",22
300,"['Essentials', 'Heating', 'Shampoo', 'Washer']",21
301,"['Essentials', 'Heating', 'TV', 'Washer']",20
302,"['Essentials', 'Heating', 'Internet', 'Shampoo']",20
303,"['Essentials', 'Heating', 'Internet', 'TV']",19
304,"['Essentials', 'Heating', 'Shampoo', 'TV']",18
305,"['Dryer', 'Heating', 'Internet', 'Washer']",21
306,"['Dryer', 'Heating', 'Shampoo', 'Washer']",20
307,"['Dryer', 'Heating', 'TV', 'Washer']",19
308,"['Dryer', 'Heating', 'Internet', 'Shampoo']",19
309,"['Dryer', 'Heating', 'Internet', 'TV']",18
310,"['Dryer', 'Heating', 'Shampoo', 'TV']",17
311,"['Heating', 'Internet', 'Shampoo', 'Washer']",18
312,"['Heating', 'Internet', 'TV', 'Washer']",17
313,"['Heating', 'Shampoo', 'TV', 'Washer']",16
314,"['Heating', 'Internet', 'Shampoo', 'TV']",15
315,"['Dryer', 'Essentials', 'Kitchen', 'Smoke Detector']",26
316,"['Essentials', 'Kitchen', 'Smoke Detector', 'Washer']",25
317,"['Essentials', 'Internet', 'Kitchen', 'Smoke Detector']",24
318,"['Essentials', 'Kitchen', 'Shampoo', 'Smoke Detector']",23
319,"['Essentials', 'Kitchen', 'Smoke Detector', 'TV']",22
320,"['Dryer', 'Kitchen', 'Smoke Detector', 'Washer']",24
321,"['Dryer', 'Internet', 'Kitchen', 'Smoke Detector']",23
322,"['Dryer', 'Kitchen', 'Shampoo', 'Smoke Detector']",22
323,"['Dryer', 'Kitchen', 'Smoke Detector', 'TV']",21
324,"['Internet', 'Kitchen', 'Smoke Detector', 'Washer']",22
325,"['Kitchen', 'Shampoo', 'Smoke Detector', 'Washer']",21
326,"['Kitchen', 'Smoke Detector', 'TV', 'Washer']",20
327,"['Internet', 'Kitchen', 'Shampoo', 'Smoke Detector']",20
328,"['Internet', 'Kitchen', 'Smoke Detector', 'TV']",19
329,"['Kitchen', 'Shampoo', 'Smoke Detector', 'TV']",18
330,"['Dryer', 'Essentials', 'Kitchen', 'Washer']",23
331,"['Dryer', 'Essentials', 'Internet', 'Kitchen']",22
332,"['Dryer', 'Essentials', 'Kitchen', 'Shampoo']",21
333,"['Dryer', 'Essentials', 'Kitchen', 'TV']",20
334,"['Essentials', 'Internet', 'Kitchen', 'Washer']",21
335,"['Essentials', 'Kitchen', 'Shampoo', 'Washer']",20
336,"['Essentials', 'Kitchen', 'TV', 'Washer']",19
337,"['Essentials', 'Internet', 'Kitchen', 'Shampoo']",19
338,"['Essentials', 'Internet', 'Kitchen', 'TV']",18
339,"['Essentials', 'Kitchen', 'Shampoo', 'TV']",17
340,"['Dryer', 'Internet', 'Kitchen', 'Washer']",20
341,"['Dryer', 'Kitchen', 'Shampoo', 'Washer']",19
342,"['Dryer', 'Kitchen', 'TV', 'Washer']",18
343,"['Dryer', 'Internet', 'Kitchen', 'Shampoo']",18
344,"['Dryer', 'Internet', 'Kitchen', 'TV']",17
345,"['Dryer', 'Kitchen', 'Shampoo', 'TV']",16
346,"['Internet', 'Kitchen', 'Shampoo', 'Washer']",17
347,"['Internet', 'Kitchen', 'TV', 'Washer']",16
348,"['Kitchen', 'Shampoo', 'TV', 'Washer']",15
349,"['Internet', 'Kitchen', 'Shampoo', 'TV']",14
350,"['Dryer', 'Essentials', 'Smoke Detector', 'Washer']",22
351,"['Dryer', 'Essentials', 'Internet', 'Smoke Detector']",21
352,"['Dryer', 'Essentials', 'Shampoo', 'Smoke Detector']",20
353,"['Dryer', 'Essentials', 'Smoke Detector', 'TV']",19
354,"['Essentials', 'Internet', 'Smoke Detector', 'Washer']",20
355,"['Essentials', 'Shampoo', 'Smoke Detector', 'Washer']",19
356,"['Essentials', 'Smoke Detector', 'TV', 'Washer']",18
357,"['Essentials', 'Internet', 'Shampoo', 'Smoke Detector']",18
358,"['Essentials', 'Internet', 'Smoke Detector', 'TV']",17
359,"['Essentials', 'Shampoo', 'Smoke Detector', 'TV']",16
360,"['Dryer', 'Internet', 'Smoke Detector', 'Washer']",19
361,"['Dryer', 'Shampoo', 'Smoke Detector', 'Washer']",18
362,"['Dryer', 'Smoke Detector', 'TV', 'Washer']",17
363,"['Dryer', 'Internet', 'Shampoo', 'Smoke Detector']",17
364,"['Dryer', 'Internet', 'Smoke Detector', 'TV']",16
365,"['Dryer', 'Shampoo', 'Smoke Detector', 'TV']",15
366,"['Internet', 'Shampoo', 'Smoke Detector', 'Washer']",16
367,"['Internet', 'Smoke Detector', 'TV', 'Washer']",15
368,"['Shampoo', 'Smoke Detector', 'TV', 'Washer']",14
369,"['Internet', 'Shampoo', 'Smoke Detector', 'TV']",13
370,"['Dryer', 'Essentials', 'Internet', 'Washer']",18
371,"['Dryer', 'Essentials', 'Shampoo', 'Washer']",17
372,"['Dryer', 'Essentials', 'TV', 'Washer']",16
373,"['Dryer', 'Essentials', 'Internet', 'Shampoo']",16
374,"['Dryer', 'Essentials', 'Internet', 'TV']",15
375,"['Dryer', 'Essentials', 'Shampoo', 'TV']",14
376,"['Essentials', 'Internet', 'Shampoo', 'Washer']",15
377,"['Essentials', 'Internet', 'TV', 'Washer']",14
378,"['Essentials', 'Shampoo', 'TV', 'Washer']",13
379,"['Essentials', 'Internet', 'Shampoo', 'TV']",12
380,"['Dryer', 'Internet', 'Shampoo', 'Washer']",14
381,"['Dryer', 'Internet', 'TV', 'Washer']",13
382,"['Dryer', 'Shampoo', 'TV', 'Washer']",12
383,"['Dryer', 'Internet', 'Shampoo', 'TV']",11
384,"['Internet', 'Shampoo', 'TV', 'Washer']",10
385,"['Essentials', 'Heating', 'Kitchen', 'Smoke Detector', 'Wireless Internet']",40
386,"['Dryer', 'Heating', 'Kitchen', 'Smoke Detector', 'Wireless Internet']",39
387,"['Heating', 'Kitchen', 'Smoke Detector', 'Washer', 'Wireless Internet']",38
388,"['Heating', 'Internet', 'Kitchen', 'Smoke Detector', 'Wireless Internet']",37
389,"['Heating', 'Kitchen', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",36
390,"['Heating', 'Kitchen', 'Smoke Detector', 'TV', 'Wireless Internet']",35
391,"['Dryer', 'Essentials', 'Heating', 'Kitchen', 'Wireless Internet']",38
